,path,flow,name,node_id,thres_freq,type,rm_plant,rm_poll,codelengths,num_nodes,num_leaf_modules,max_depth,num_top_modules,entropy_rate,relative_codelength_savings
93,"(4, 1)",0.0812883435582822,Deutzia,30,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
94,"(4, 2)",0.0,CLUSIIDAE1 (Clu. : Dip. ),1207,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
95,"(5, 1)",0.04141104294478527,Petasites,55,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
96,"(5, 2)",0.032208588957055216,Oxalis,49,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
97,"(5, 3)",0.0,Epuraea sp. (Nit. : Col. ),1304,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
98,"(5, 4)",0.0,Eusphalerum parallelum (Sta. : Col. ),1313,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
99,"(6, 1)",0.03834355828220859,Rubus,68,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
100,"(6, 2)",0.024539877300613498,Clinopodium,24,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
101,"(6, 3)",0.0,Ceratina megastigmata (Ant. : Hym. ),1155,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
102,"(7, 1)",0.03834355828220859,Rubus,69,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
103,"(7, 2)",0.0,Andrena (Stenomelissa) halictoides (And. : Hym. ),1033,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
104,"(7, 3)",0.0,Philopota nigroaenea (Acr. : Dip. ),1504,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
105,"(8, 1)",0.03067484662576687,Angelica,8,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
106,"(8, 2)",0.0,Hylaeus globula (Col. : Hym. ),1333,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
107,"(9, 1)",0.03067484662576687,Persicaria,52,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
108,"(9, 2)",0.0,MIRIDAE3 (Mir. : Hem. ),1450,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
109,"(10, 1)",0.024539877300613498,Kalimeris,44,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
110,"(10, 2)",0.0,Eristalis cerealis (Syr. : Dip. ),1305,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
111,"(11, 1)",0.01687116564417178,Carpesium,20,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
112,"(11, 2)",0.0,Apis mellifera (Api. : Hym. ),1070,10,bipartite_genus,NA,NA,0.6486316009132986,39,11,2,11,1.3765710084313882,0.798774863126402
113,"(1, 1)",0.1645161290322581,Euonymus,34,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
114,"(1, 2)",0.06709677419354841,Deutzia,30,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
115,"(1, 3)",0.03225806451612904,Corydalis,27,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
116,"(1, 4)",0.030322580645161298,Rosa,67,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
117,"(1, 5)",0.02709677419354839,Kalimeris,44,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
118,"(1, 6)",0.016774193548387096,Rubus,70,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
119,"(1, 7)",0.01612903225806452,Rabdosia,63,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
120,"(1, 8)",0.009677419354838714,Geum,36,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
121,"(1, 9)",0.005161290322580647,Anthriscus,11,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
122,"(1, 10)",0.004516129032258067,Hydrangea,40,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
123,"(1, 11)",0.003870967741935485,Aruncus,12,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
124,"(1, 12)",0.0025806451612903234,Cacalia,18,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
125,"(1, 13)",0.0012903225806451617,Persicaria,53,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
126,"(1, 14)",0.0,NITIDULIDAE6 (Nit. : Col. ),1474,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
127,"(1, 15)",0.0,Lasioglossum (El.) sp.25 (Hal. : Hym. ),1384,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
128,"(1, 16)",0.0,Mordellistena sp. (Mor. : Col. ),1456,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
129,"(1, 17)",0.0,MIRIDAE13 (Mir. : Hem. ),1444,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
130,"(1, 18)",0.0,Melanotus annosus (Ela. : Col. ),1432,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
131,"(1, 19)",0.0,Megaspis zonata (Syr. : Dip. ),1430,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
132,"(1, 20)",0.0,MECOPTERA2 (Mec. : Mec. ),1423,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
133,"(1, 21)",0.0,Leptura ochraceofasciata (Cer. : Col. ),1409,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
134,"(1, 22)",0.0,LAUXANIIDAE5 (Lau. : Dip. ),1405,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
135,"(1, 23)",0.0,Lasius niger (For. : Hym. ),1396,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
136,"(1, 24)",0.0,Lasioglossum (Lasioglossum) sp.3 (Hal. : Hym. ),1394,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
137,"(1, 25)",0.0,Lasioglossum (Lasioglossum) proximatum (Hal. : Hym. ),1393,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
138,"(1, 26)",0.0,Lasioglossum (Lasioglossum) occidens (Hal. : Hym. ),1392,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
139,"(1, 27)",0.0,Lasioglossum (Et.) baleicum (Hal. : Hym. ),1389,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
140,"(1, 28)",0.0,Lasioglossum (Et.) apristum (Hal. : Hym. ),1388,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
141,"(1, 29)",0.0,Lasioglossum (El.) transpositum (Hal. : Hym. ),1387,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
142,"(1, 30)",0.0,LUSIIDAE1 (Clu. : Dip. ),1674,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
143,"(1, 31)",0.0,Schwarzerium quadricolle (Cer. : Col. ),1554,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
144,"(1, 32)",0.0,Xanthochroa waterhousei (Oed. : Col. ),1665,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
145,"(1, 33)",0.0,Xanthochroa luteipennis (Oed. : Col. ),1664,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
146,"(1, 34)",0.0,Xanthochroa deformis (Oed. : Col. ),1663,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
147,"(1, 35)",0.0,Vuilletus viridissllis (Ela. : Col. ),1661,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
148,"(1, 36)",0.0,TRICHOPTERA6 (Tri. : Tri. ),1656,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
149,"(1, 37)",0.0,Tremus cyanipennis (Can. : Col. ),1652,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
150,"(1, 38)",0.0,Syrphus vitripennis (Syr. : Dip. ),1585,2,bipartite_genus,NA,NA,3.2221651144860775,223,11,2,11,3.3015970968330337,0.24054676351029292
